Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,31.309999,31.459999,31.044001,31.125000,30.729305,62400
2019-10-08,30.730000,30.730000,30.340000,30.340000,29.954285,40400
2019-10-09,30.680000,30.867001,30.570000,30.670000,30.280090,118900
2019-10-10,30.770000,31.120001,30.770000,31.004999,30.610830,25000
2019-10-11,31.450001,31.820000,31.450001,31.559999,31.158775,53600
2019-10-14,31.450001,31.624001,31.420000,31.500000,31.099539,29800
2019-10-15,31.480000,31.944000,31.400000,31.799999,31.395723,54600
2019-10-16,31.760000,31.884001,31.660000,31.820000,31.415470,15400
2019-10-17,32.119999,32.144001,31.910000,31.920000,31.514198,27600
2019-10-18,31.850000,31.860001,31.190001,31.299999,30.902081,54400
2019-10-21,31.730000,31.784000,31.658001,31.770000,31.366106,16000
2019-10-22,31.770000,31.915001,31.402000,31.490000,31.089664,27200
2019-10-23,31.240000,31.520000,31.240000,31.450001,31.050175,26400
2019-10-24,31.639999,32.110001,31.570000,32.110001,31.701784,19400
2019-10-25,31.959999,32.432999,31.959999,32.270000,31.859749,17800
2019-10-28,32.599998,32.959999,32.599998,32.849998,32.432373,35800
2019-10-29,32.549999,32.549999,32.299999,32.449001,32.036476,18200
2019-10-30,32.349998,32.549999,32.250000,32.549999,32.136189,193800
2019-10-31,32.660000,32.750000,32.340000,32.490002,32.076954,14700
2019-11-01,32.980000,33.068001,32.808998,32.919998,32.501484,43400
2019-11-04,33.299999,33.669998,33.299999,33.610001,33.182713,42600
2019-11-05,33.630001,33.689999,33.299999,33.389999,32.965511,18400
2019-11-06,33.509998,33.540001,33.230000,33.270000,32.847038,19700
2019-11-07,33.790001,34.090000,33.790001,33.910000,33.478901,76700
2019-11-08,33.680000,33.889999,33.671001,33.799999,33.370296,83200
2019-11-11,33.380001,33.620998,33.304001,33.610001,33.182713,29900
2019-11-12,33.580002,33.750000,33.520000,33.639999,33.212330,64300
2019-11-13,33.110001,33.250000,33.058998,33.160000,32.738434,32400
2019-11-14,33.250000,33.313999,33.060001,33.259998,32.837162,63800
2019-11-15,33.490002,33.694000,33.490002,33.630001,33.202461,35400
2019-11-18,33.889999,33.889999,33.636002,33.650002,33.222206,36100
2019-11-19,33.830002,33.830002,33.348000,33.450001,33.024750,76300
2019-11-20,32.689999,32.785000,32.368000,32.470001,32.057209,52800
2019-11-21,32.500000,32.669998,32.480000,32.619999,32.205299,33600
2019-11-22,32.799999,33.290001,32.740002,33.270000,32.847038,94900
2019-11-25,33.560001,34.033001,33.549999,34.009998,33.577625,119200
2019-11-26,33.759998,33.889999,33.560001,33.860001,33.429535,76200
2019-11-27,33.849998,34.096001,33.849998,34.049999,33.617119,42100
2019-11-29,33.759998,33.860001,33.660000,33.770000,33.340679,33700
2019-12-02,33.730000,33.730000,33.233002,33.450001,33.024750,32300
2019-12-03,32.959999,33.250000,32.650002,33.209999,32.787796,70000
2019-12-04,33.630001,33.630001,33.250000,33.250000,32.827290,20700
2019-12-05,33.209999,33.570000,33.209999,33.509998,33.083984,47300
2019-12-06,33.930000,33.990002,33.840000,33.939999,33.508518,89100
2019-12-09,33.740002,34.028999,33.630001,33.630001,33.202461,64200
2019-12-10,33.660000,33.756001,33.599998,33.619999,33.192585,44400
2019-12-11,33.889999,34.029999,33.720001,33.970001,33.538139,26400
2019-12-12,34.070000,34.599998,33.980000,34.509998,34.071270,133400
2019-12-13,34.619999,34.959999,34.520000,34.540001,34.100891,82800
2019-12-16,34.840000,35.167999,34.840000,35.049999,34.604404,65100
2019-12-17,35.290001,35.330002,35.150002,35.270000,34.821609,78800
2019-12-18,35.430000,35.430000,35.250000,35.320000,34.870975,73800
2019-12-19,35.270000,35.480000,35.220001,35.480000,35.028938,55400
2019-12-20,35.540001,35.730000,35.540001,35.680000,35.226398,185900
2019-12-23,35.669998,35.859001,35.660000,35.790001,35.334999,43200
2019-12-24,35.400002,35.439999,35.299999,35.325001,35.325001,20800
2019-12-26,35.470001,35.580002,35.449001,35.540001,35.540001,91800
2019-12-27,35.790001,35.790001,35.549999,35.590000,35.590000,45700
2019-12-30,35.770000,35.779999,35.305000,35.330002,35.330002,88800
2019-12-31,35.299999,35.319000,35.150002,35.299999,35.299999,49400
2020-01-02,35.779999,36.869999,35.779999,36.869999,36.869999,174900
2020-01-03,36.189999,36.619999,36.150002,36.320000,36.320000,54900
2020-01-06,36.189999,36.430000,36.185001,36.389999,36.389999,106000
2020-01-07,36.630001,36.916000,36.500000,36.860001,36.860001,175200
2020-01-08,36.610001,37.130001,36.610001,36.950001,36.950001,172200
2020-01-09,37.310001,37.419998,37.195000,37.310001,37.310001,130700
2020-01-10,37.610001,37.750000,37.410000,37.660000,37.660000,99600
2020-01-13,38.000000,38.500000,37.950001,38.410000,38.410000,188200
2020-01-14,38.200001,38.220001,37.761002,37.919998,37.919998,119100
2020-01-15,38.020000,38.187000,37.869999,38.029999,38.029999,93500
2020-01-16,38.259998,38.259998,38.000000,38.130001,38.130001,67800
2020-01-17,38.200001,38.438999,38.200001,38.380001,38.380001,94100
2020-01-21,37.250000,37.526001,37.200001,37.310001,37.310001,179500
2020-01-22,37.840000,37.985001,37.520000,37.599998,37.599998,97900
2020-01-23,36.880001,37.220001,36.680000,37.169998,37.169998,174300
2020-01-24,37.130001,37.160000,36.160000,36.400002,36.400002,151400
2020-01-27,34.570000,35.570000,34.459999,35.279999,35.279999,235000
2020-01-28,35.509998,36.040001,35.407001,36.009998,36.009998,66700
2020-01-29,36.549999,36.549999,36.200001,36.400002,36.400002,163300
2020-01-30,35.570000,35.910000,35.373001,35.869999,35.869999,90000
2020-01-31,35.470001,35.509998,35.110001,35.209999,35.209999,117100
2020-02-03,35.599998,36.208000,35.599998,36.139999,36.139999,84900
2020-02-04,37.200001,37.516998,37.080002,37.320000,37.320000,110700
2020-02-05,37.910000,37.910000,36.956001,37.070000,37.070000,78500
2020-02-06,37.400002,37.490002,37.090000,37.340000,37.340000,77200
2020-02-07,37.029999,37.062000,36.660000,36.750000,36.750000,80500
2020-02-10,36.680000,36.980000,36.680000,36.939999,36.939999,148200
2020-02-11,37.360001,37.737000,37.259998,37.430000,37.430000,118900
2020-02-12,37.959999,38.330002,37.849998,38.259998,38.259998,141800
2020-02-13,37.910000,38.299999,37.731998,38.180000,38.180000,109400
2020-02-14,38.240002,38.240002,37.880001,37.959999,37.959999,98100
2020-02-18,37.869999,37.950001,37.709999,37.880001,37.880001,77500
2020-02-19,38.119999,38.490002,38.119999,38.470001,38.470001,57700
2020-02-20,38.310001,38.455002,37.728001,38.060001,38.060001,147100
2020-02-21,37.840000,37.840000,37.320000,37.380001,37.380001,74400
2020-02-24,35.590000,36.090000,35.450001,35.900002,35.900002,183000
2020-02-25,36.549999,36.740002,35.520000,35.520000,35.520000,151400
2020-02-26,35.910000,36.509998,35.730000,35.880001,35.880001,383100
2020-02-27,35.119999,35.709000,34.630001,34.759998,34.759998,127800
2020-02-28,33.630001,34.869999,33.590000,34.220001,34.220001,153400
2020-03-02,35.090000,35.639999,34.680000,35.639999,35.639999,133900
2020-03-03,35.680000,36.150002,34.799999,35.209999,35.209999,101300
2020-03-04,35.759998,36.220001,35.730000,36.150002,36.150002,86700
2020-03-05,35.770000,36.349998,35.599998,35.740002,35.740002,76400
2020-03-06,34.869999,35.099998,34.380001,34.900002,34.900002,229700
2020-03-09,32.509998,33.599998,32.340000,32.700001,32.700001,170700
2020-03-10,34.180000,34.490002,33.380001,34.490002,34.490002,213000
2020-03-11,33.480000,33.790001,32.700001,32.959999,32.959999,163500
2020-03-12,30.360001,31.000000,29.299999,30.080000,30.080000,261000
2020-03-13,32.299999,32.299999,30.160000,31.540001,31.540001,237500
2020-03-16,27.570000,29.570000,26.000000,28.000000,28.000000,150800
2020-03-17,28.790001,29.930000,27.906000,29.430000,29.430000,182800
2020-03-18,27.209999,28.410000,26.514999,27.510000,27.510000,291700
2020-03-19,27.510000,28.910000,27.311001,28.240000,28.240000,197300
2020-03-20,29.719999,30.000000,28.500000,28.600000,28.600000,173500
2020-03-23,28.549999,28.968000,27.860001,28.600000,28.600000,192000
2020-03-24,30.670000,30.879999,30.334999,30.670000,30.670000,127100
2020-03-25,31.160000,32.380001,31.000000,31.469999,31.469999,152200
2020-03-26,31.709999,32.500000,31.655001,32.369999,32.369999,201800
2020-03-27,30.930000,31.450001,30.690001,31.020000,31.020000,81800
2020-03-30,31.020000,31.290001,30.840000,31.290001,31.290001,109200
2020-03-31,31.270000,32.000000,31.250000,31.510000,31.510000,117800
2020-04-01,30.690001,31.250000,30.264999,30.549999,30.549999,181900
2020-04-02,30.980000,31.290001,30.610001,31.070000,31.070000,144100
2020-04-03,31.090000,31.149000,30.250000,30.410000,30.410000,78000
2020-04-06,31.610001,32.299999,31.459999,32.169998,32.169998,119800
2020-04-07,33.029999,33.189999,32.299999,32.490002,32.490002,135300
2020-04-08,32.389999,32.680000,32.090000,32.680000,32.680000,114100
2020-04-09,32.799999,33.180000,32.450001,32.619999,32.619999,185500
2020-04-13,32.480000,32.720001,32.230000,32.689999,32.689999,110600
2020-04-14,33.330002,33.720001,33.279999,33.330002,33.330002,73000
2020-04-15,32.919998,33.580002,32.709999,33.400002,33.400002,134900
2020-04-16,34.070000,34.639999,34.049999,34.470001,34.470001,144000
2020-04-17,35.029999,35.174999,34.150002,34.509998,34.509998,213200
2020-04-20,34.320000,35.209999,34.320000,34.750000,34.750000,94500
2020-04-21,34.130001,34.220001,33.529999,33.950001,33.950001,105400
2020-04-22,34.900002,35.000000,34.674999,34.910000,34.910000,143900
2020-04-23,35.180000,35.320000,34.400002,34.580002,34.580002,103400
2020-04-24,34.790001,34.820000,34.290001,34.680000,34.680000,112000
2020-04-27,35.020000,35.372002,35.009998,35.209999,35.209999,111300
2020-04-28,35.830002,35.830002,34.952000,34.990002,34.990002,97100
2020-04-29,35.540001,35.859001,35.389999,35.840000,35.840000,77100
2020-04-30,35.639999,35.660000,34.799999,34.930000,34.930000,74000
2020-05-01,34.189999,34.360001,33.613998,33.820000,33.820000,96300
2020-05-04,33.950001,34.310001,33.889999,34.220001,34.220001,55200
2020-05-05,34.900002,35.230000,34.771000,34.900002,34.900002,74200
2020-05-06,35.759998,36.099998,35.630001,35.680000,35.680000,207100
2020-05-07,36.119999,36.389999,36.009998,36.340000,36.340000,68000
2020-05-08,37.080002,37.599998,37.009998,37.599998,37.599998,173800
2020-05-11,37.689999,37.889999,37.599998,37.619999,37.619999,505900
2020-05-12,38.169998,38.599998,37.669998,37.669998,37.669998,163800
2020-05-13,38.480000,38.730000,37.650002,38.049999,38.049999,149300
2020-05-14,37.480000,38.228001,37.101002,38.209999,38.209999,85400
2020-05-15,37.590000,38.064999,37.380001,37.980000,37.980000,139000
2020-05-18,38.950001,39.766998,38.889999,39.619999,39.619999,148300
2020-05-19,39.820000,40.215000,39.490002,39.490002,39.490002,201300
2020-05-20,40.520000,40.759998,39.639999,40.160000,40.160000,147500
2020-05-21,39.669998,39.810001,39.200001,39.650002,39.650002,269100
2020-05-22,38.919998,38.950001,38.433998,38.820000,38.820000,249500
2020-05-26,40.299999,40.450001,40.009998,40.060001,40.060001,121000
2020-05-27,39.939999,39.939999,38.779999,39.450001,39.450001,199000
2020-05-28,39.450001,39.590000,38.919998,39.040001,39.040001,234300
2020-05-29,39.250000,40.330002,39.119999,40.250000,40.250000,128300
2020-06-01,40.500000,40.939999,40.360001,40.939999,40.939999,95400
2020-06-02,41.150002,41.731998,41.009998,41.700001,41.700001,174000
2020-06-03,42.000000,42.470001,41.898998,42.349998,42.349998,219300
2020-06-04,42.000000,42.430000,41.680000,41.939999,41.939999,215800
2020-06-05,42.669998,43.070000,42.590000,42.950001,42.950001,150200
2020-06-08,42.950001,43.040001,42.367001,42.880001,42.880001,115800
2020-06-09,42.299999,42.790001,42.241001,42.660000,42.660000,148200
2020-06-10,43.349998,43.980000,43.220001,43.830002,43.830002,217900
2020-06-11,42.720001,43.230000,41.998001,42.070000,42.070000,165800
2020-06-12,43.290001,43.490002,42.480000,43.299999,43.299999,150200
2020-06-15,42.200001,43.860001,42.200001,43.639999,43.639999,298200
2020-06-16,45.369999,45.369999,44.029999,44.630001,44.630001,186600
2020-06-17,45.119999,45.580002,45.049999,45.404999,45.404999,261900
2020-06-18,45.450001,45.765999,45.320000,45.450001,45.450001,389100
2020-06-19,45.939999,46.150002,45.450001,45.610001,45.610001,278700
2020-06-22,46.320000,46.490002,45.990002,46.490002,46.490002,276700
2020-06-23,47.520000,47.889999,47.429001,47.599998,47.599998,495900
2020-06-24,47.200001,47.549999,46.279999,46.830002,46.830002,285300
2020-06-25,46.529999,47.080002,46.299999,47.009998,47.009998,155600
2020-06-26,46.910000,46.950001,46.060001,46.509998,46.509998,149100
2020-06-29,46.330002,46.669998,45.849998,46.580002,46.580002,147700
2020-06-30,46.830002,47.029999,46.529999,46.709999,46.709999,152200
2020-07-01,47.090000,47.310001,46.880001,47.150002,47.150002,165500
2020-07-02,48.270000,48.820000,48.220001,48.459999,48.459999,232200
2020-07-06,50.259998,50.520000,49.742001,50.040001,50.040001,348700
2020-07-07,49.590000,49.970001,49.261002,49.470001,49.470001,211500
2020-07-08,50.910000,51.650002,50.779999,51.570000,51.570000,282400
2020-07-09,53.029999,53.099998,51.730000,52.410000,52.410000,340000
2020-07-10,52.060001,52.139999,51.459999,51.689999,51.689999,426300
